	contamination	dim_reducer	doc2vec_data_frac	doc2vec_epochs	doc2vec_min_count	f1_macro	fraction	in_f1	model_name	model_path	model_train_data	model_type	out_f1	out_prec	out_rec	outlier_detector	seed	time
0	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_10_mono	42.0	39.54923707403941
1	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_50_mono	42.0	177.42163331399206
2	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_100_mono	42.0	355.2224085740163
3	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_300_mono	42.0	1057.5321509899804
4	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_10_duo	42.0	38.16766744799679
5	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_50_duo	42.0	174.44297465804266
6	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_100_duo	42.0	347.1793171419995
7	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_300_duo	42.0	1043.5870007879566
8	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49845896219199126	1.0	0.8953040570797386	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10161386730424388	0.10606060606060606	0.09752499590231109	AE_100_tiny	42.0	355.1063612140133
9	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49988907635739754	1.0	0.8956025912768307	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.1041755614379643	0.10873440285204991	0.09998360924438617	AE_10_mono	43.0	37.87040655704914
10	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_50_mono	43.0	175.91147252602968
11	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_100_mono	43.0	352.63838857394876
12	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_300_mono	43.0	1053.7209925209754
13	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.49988907635739754	1.0	0.8956025912768307	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.1041755614379643	0.10873440285204991	0.09998360924438617	AE_10_duo	43.0	37.44094752299134
14	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_50_duo	43.0	174.90827840403654
15	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_100_duo	43.0	356.2792339990265
16	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_300_duo	43.0	1056.1618656949722
17	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.4997937354130371	1.0	0.8955826889970246	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10400478182904961	0.10855614973262032	0.09981970168824783	AE_100_tiny	43.0	366.8420052379952
18	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_10_mono	44.0	38.08889445400564
19	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_50_mono	44.0	177.3746595350094
20	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_100_mono	44.0	356.80995170096867
21	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_300_mono	44.0	1058.4997724489658
22	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.5018912361889664	1.0	0.8960205391527599	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.1077619332251729	0.1124777183600713	0.10342566792329126	AE_10_duo	44.0	38.008002529037185
23	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_50_duo	44.0	176.08593702298822
24	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_100_duo	44.0	357.6542525959667
25	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_300_duo	44.0	1085.0086844579782
26	0.1	<eval_cluster_config.NoReduction object at 0x7f6782e09550>	1.0	100.0	1.0	0.501795895244606	1.0	0.8960006368729537	doc2vecapnews	/home/philipp/projects/dad4td/models/apnews_dbow/doc2vec.bin	apnews	doc2vec	0.10759115361625822	0.11229946524064172	0.10326176036715293	AE_100_tiny	44.0	365.8704576949822
