	f1_macro	in_f1	out_f1	out_rec	out_prec	seed	i_umap	i_ivis	contamination	fraction	time_umap	time_ivis
0	0.9641874366367791	0.9935089728904163	0.9348659003831418	0.9323144104803494	0.9374313940724479	42	0	0	0.1	0.15	71.70798083900081	113.36916607999956
1	0.9639042775818348	0.9934540693868644	0.9343544857768052	0.9323144104803494	0.9364035087719298	42	0	1	0.1	0.15	71.70798083900081	83.48313953400066
2	0.9611917931037469	0.9930237628079354	0.9293598233995585	0.9192139737991266	0.9397321428571429	42	0	2	0.1	0.15	71.70798083900081	149.34335847799957
3	0.9647545864448188	0.9936187619307336	0.935890410958904	0.9323144104803494	0.9394939493949395	42	0	3	0.1	0.15	71.70798083900081	137.7685758819971
4	0.9647545864448188	0.9936187619307336	0.935890410958904	0.9323144104803494	0.9394939493949395	42	1	0	0.1	0.15	48.21221971400155	67.01770899700205
5	0.9636213951461012	0.9933991598930773	0.9338436303991252	0.9323144104803494	0.9353778751369113	42	1	1	0.1	0.15	48.21221971400155	88.5745115619975
6	0.9639397923318398	0.9934533551554828	0.9344262295081968	0.9334061135371179	0.9354485776805251	42	1	2	0.1	0.15	48.21221971400155	58.35633886999858
7	0.7054836259881134	0.9008052490307188	0.5101620029455082	0.9454148471615721	0.34933440903590157	42	1	3	0.1	0.15	48.21221971400155	101.97464267900068
8	0.960643220213748	0.9927923992573987	0.9284940411700975	0.9355895196506551	0.921505376344086	42	2	0	0.1	0.15	50.66927758100064	100.68396057700011
9	0.9595687140746458	0.9925715534192703	0.9265658747300215	0.9366812227074236	0.9166666666666666	42	2	1	0.1	0.15	50.66927758100064	158.4867544000008
10	0.9622481605608844	0.9931237721021611	0.9313725490196078	0.9334061135371179	0.9293478260869565	42	2	2	0.1	0.15	50.66927758100064	103.40124124999784
11	0.964470872770812	0.9935638704047126	0.9353778751369113	0.9323144104803494	0.9384615384615385	42	2	3	0.1	0.15	50.66927758100064	124.63208978900002
12	0.9679879559492477	0.9941597074395502	0.9418162044589452	0.9454148471615721	0.9382448537378115	43	0	0	0.1	0.15	53.476955464997445	132.43363118600246
13	0.9696642462445099	0.9944896066342955	0.9448388858547242	0.9443231441048034	0.9453551912568307	43	0	1	0.1	0.15	53.476955464997445	138.43927063699812
14	0.9658245940327875	0.9938396118410292	0.9378095762245459	0.9301310043668122	0.9456159822419534	43	0	2	0.1	0.15	53.476955464997445	64.35366456100019
15	0.9688397515740634	0.9943243833224188	0.9433551198257081	0.9454148471615721	0.941304347826087	43	0	3	0.1	0.15	53.476955464997445	84.66154179300065
16	0.9693488234820639	0.9944353518821605	0.9442622950819672	0.9432314410480349	0.9452954048140044	43	1	0	0.1	0.15	46.6314915619987	82.82356304299901
17	0.9693488234820639	0.9944353518821605	0.9442622950819672	0.9432314410480349	0.9452954048140044	43	1	1	0.1	0.15	46.6314915619987	98.53564205800285
18	0.9682093517490271	0.994215868165448	0.9422028353326063	0.9432314410480349	0.9411764705882353	43	1	2	0.1	0.15	46.6314915619987	61.49261753499741
19	0.9693488234820639	0.9944353518821605	0.9442622950819672	0.9432314410480349	0.9452954048140044	43	1	3	0.1	0.15	46.6314915619987	90.51459156399869
20	0.9696044630278544	0.9944908089237986	0.9447181171319101	0.9421397379912664	0.9473106476399561	43	2	0	0.1	0.15	48.319284735996916	100.27836836999995
21	0.9660765601939733	0.9938951270031615	0.938257993384785	0.9290393013100436	0.9476614699331849	43	2	1	0.1	0.15	48.319284735996916	62.96177846899809
22	0.9658922257936808	0.993838268171656	0.9379461834157057	0.9323144104803494	0.943646408839779	43	2	2	0.1	0.15	48.319284735996916	48.066131822997704
23	0.9693186359445596	0.9944359589788349	0.9442013129102844	0.9421397379912664	0.9462719298245614	43	2	3	0.1	0.15	48.319284735996916	96.48050087900265
24	0.9570125849653408	0.9920166229221347	0.922008547008547	0.9421397379912664	0.9027196652719666	44	0	0	0.1	0.15	48.38293670699932	63.612587612002244
25	0.9608338859416445	0.9927884615384616	0.9288793103448276	0.9410480349344978	0.9170212765957447	44	0	1	0.1	0.15	48.38293670699932	69.26628506599809
26	0.9602404599710634	0.9926791958041957	0.927801724137931	0.9399563318777293	0.9159574468085107	44	0	2	0.1	0.15	48.38293670699932	73.37937364800018
27	0.960518056206934	0.992734225621415	0.9283018867924528	0.9399563318777293	0.9169329073482428	44	0	3	0.1	0.15	48.38293670699932	92.8591926500012
28	0.9587396169263471	0.9923455440131219	0.9251336898395722	0.9443231441048034	0.9067085953878407	44	1	0	0.1	0.15	47.45794853699772	93.03577472400139
29	0.961910047677388	0.9930092845439651	0.9308108108108109	0.9399563318777293	0.9218415417558886	44	1	1	0.1	0.15	47.45794853699772	69.96394772400163
30	0.9594875641554712	0.9925124337323059	0.9264626945786366	0.9421397379912664	0.91129883843717	44	1	2	0.1	0.15	47.45794853699772	70.25595109300048
31	0.9624321647494868	0.9931200174729715	0.931744312026002	0.9388646288209607	0.9247311827956989	44	1	3	0.1	0.15	47.45794853699772	46.186928679999255
32	0.9600018329553917	0.9926233539150866	0.9273803119956966	0.9410480349344978	0.9141039236479321	44	2	0	0.1	0.15	47.91425165999681	99.67624930000238
33	0.9615938062392284	0.992955054338922	0.930232558139535	0.9388646288209607	0.9217577706323687	44	2	1	0.1	0.15	47.91425165999681	41.540564824998
34	0.9621524420848785	0.9930650357669416	0.9312398484028154	0.9388646288209607	0.9237379162191193	44	2	2	0.1	0.15	47.91425165999681	112.4339662320017
35	0.9600018329553917	0.9926233539150866	0.9273803119956966	0.9410480349344978	0.9141039236479321	44	2	3	0.1	0.15	47.91425165999681	111.34293900699777
36	0.9579612262881193	0.9924221773973724	0.9235002751788662	0.915938864628821	0.9311875693673696	45	0	0	0.1	0.15	47.02750461500182	71.00639284799763
37	0.95884813193189	0.9925861317051896	0.9251101321585904	0.9170305676855895	0.9333333333333333	45	0	1	0.1	0.15	47.02750461500182	131.26723180400222
38	0.9604673970061655	0.9929170752969378	0.9280177187153931	0.9148471615720524	0.9415730337078652	45	0	2	0.1	0.15	47.02750461500182	61.678600504001224
39	0.9599391813569782	0.9928065395095367	0.9270718232044198	0.915938864628821	0.9384787472035794	45	0	3	0.1	0.15	47.02750461500182	84.44102597999881
40	0.9585661007300168	0.9925312108161151	0.9246009906439185	0.9170305676855895	0.9322974472807991	45	1	0	0.1	0.15	53.44194607299869	63.39547863600092
41	0.9585249657055201	0.9925320250749522	0.9245179063360882	0.915938864628821	0.9332591768631813	45	1	1	0.1	0.15	53.44194607299869	61.75120059999972
42	0.9590898157421295	0.992641848803619	0.9255377826806399	0.915938864628821	0.935340022296544	45	1	2	0.1	0.15	53.44194607299869	83.91960786399795
43	0.9585249657055201	0.9925320250749522	0.9245179063360882	0.915938864628821	0.9332591768631813	45	1	3	0.1	0.15	53.44194607299869	43.34383975699893
44	0.961475820115649	0.9930786418878413	0.9298729983434566	0.9192139737991266	0.9407821229050279	45	2	0	0.1	0.15	47.11642084699997	80.25041245600005
45	0.958284346589713	0.9924762839385017	0.9240924092409242	0.9170305676855895	0.9312638580931264	45	2	1	0.1	0.15	47.11642084699997	87.00632254200173
46	0.9588072516641103	0.9925869399324103	0.9250275633958103	0.915938864628821	0.9342984409799554	45	2	2	0.1	0.15	47.11642084699997	78.52812129299855
47	0.9599391813569782	0.9928065395095367	0.9270718232044198	0.915938864628821	0.9384787472035794	45	2	3	0.1	0.15	47.11642084699997	75.79230438399827
48	0.9659259291611482	0.9938375961171402	0.9380142622051563	0.9334061135371179	0.9426681367144433	46	0	0	0.1	0.15	47.61094167200281	46.61870585100041
49	0.9656073973306945	0.993783400588941	0.9374313940724479	0.9323144104803494	0.9426048565121413	46	0	1	0.1	0.15	47.61094167200281	69.02676866299953
50	0.9651417992541118	0.9936715766503	0.9366120218579235	0.9355895196506551	0.937636761487965	46	0	2	0.1	0.15	47.61094167200281	54.90152408300128
51	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	0	3	0.1	0.15	47.61094167200281	51.83479038099904
52	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	1	0	0.1	0.15	47.357504013001744	60.50427596499867
53	0.9648585822832441	0.9936166730318075	0.9361004915346806	0.9355895196506551	0.9366120218579235	46	1	1	0.1	0.15	47.357504013001744	123.08001959499961
54	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	1	2	0.1	0.15	47.357504013001744	100.41444109999793
55	0.9656752499650216	0.9937820442892985	0.9375684556407448	0.9344978165938864	0.9406593406593406	46	1	3	0.1	0.15	47.357504013001744	93.91259090099993
56	0.9653912202792401	0.9937271586756122	0.937055281882868	0.9344978165938864	0.9396267837541163	46	2	0	0.1	0.15	46.80471846099681	108.69670032999784
57	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	1	0.1	0.15	46.80471846099681	92.32080914900143
58	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	2	0.1	0.15	46.80471846099681	113.77759788000185
59	0.9656413612565445	0.993782722513089	0.9375000000000001	0.9334061135371179	0.9416299559471366	46	2	3	0.1	0.15	46.80471846099681	141.60330618199805
